Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
M,30.05000000000001,39.05000000000001,1561.0,34.9,106.0,No Failure,2022-01-06 10:10:00,No Failure,302,1608,72,122
L,28.150000000000034,39.35000000000002,1548.0,32.2,25.0,No Failure,2022-01-11 19:00:00,No Failure,300,1606,70,120
M,26.75,38.05000000000001,1603.0,36.1,126.0,No Failure,2022-01-02 22:10:00,No Failure,298,1604,68,118
L,24.950000000000045,36.25,1726.0,28.4,202.0,No Failure,2022-01-02 17:28:00,No Failure,296,1602,66,116
L,27.25,36.85000000000002,1391.0,58.2,135.0,No Failure,2022-01-03 23:00:00,No Failure,294,1600,64,114
L,29.650000000000034,38.650000000000034,1383.0,46.4,37.0,No Failure,2022-01-06 15:02:00,No Failure,292,1598,62,112
H,25.75,35.55000000000001,1464.0,43.2,97.0,No Failure,2022-01-03 17:16:00,No Failure,290,1596,60,110
L,25.05000000000001,36.25,1460.0,42.1,41.0,No Failure,2022-01-02 15:40:00,No Failure,288,1594,58,108
L,28.950000000000045,39.25,1531.0,38.7,55.0,No Failure,2022-01-10 12:50:00,No Failure,286,1592,56,106
L,26.05000000000001,35.75,1429.0,49.4,141.0,No Failure,2022-01-14 20:04:00,No Failure,284,1590,54,104
L,29.150000000000034,37.85000000000002,1438.0,40.9,7.0,No Failure,2022-01-05 13:12:00,No Failure,282,1588,52,102
L,29.150000000000034,38.25,1507.0,39.1,194.0,No Failure,2022-01-10 03:20:00,No Failure,280,1586,50,100
M,28.05000000000001,37.450000000000045,1556.0,35.8,36.0,No Failure,2022-01-04 20:40:00,No Failure,278,1584,48,98
M,28.05000000000001,36.85000000000002,1642.0,31.2,37.0,No Failure,2022-01-05 10:54:00,No Failure,276,1582,46,96
L,25.650000000000034,36.85000000000002,1456.0,41.2,0.0,No Failure,2022-01-01 22:28:00,No Failure,274,1580,44,94
M,28.25,38.450000000000045,1545.0,35.6,16.0,No Failure,2022-01-11 02:04:00,No Failure,272,1578,42,92
M,24.55000000000001,35.450000000000045,1547.0,34.7,150.0,No Failure,2022-01-02 03:24:00,No Failure,270,1576,40,90
M,27.450000000000045,36.950000000000045,1435.0,48.4,143.0,No Failure,2022-01-04 01:58:00,No Failure,268,1574,38,88
M,29.55000000000001,38.450000000000045,1876.0,22.1,99.0,No Failure,2022-01-10 04:54:00,No Failure,266,1572,36,86
M,28.950000000000045,39.150000000000034,1654.0,30.7,28.0,No Failure,2022-01-10 12:30:00,No Failure,264,1570,34,84
L,24.350000000000023,35.450000000000045,1512.0,43.6,92.0,No Failure,2022-01-02 10:48:00,No Failure,262,1568,32,82
H,25.55000000000001,36.650000000000034,1404.0,50.3,97.0,No Failure,2022-01-13 16:30:00,No Failure,260,1566,30,80
L,27.450000000000045,38.75,1472.0,40.9,137.0,No Failure,2022-01-12 08:08:00,No Failure,258,1564,28,78
L,27.150000000000034,38.25,1725.0,26.8,167.0,No Failure,2022-01-14 09:18:00,No Failure,256,1562,26,76
L,26.75,37.950000000000045,1341.0,54.5,51.0,No Failure,2022-01-14 05:12:00,No Failure,254,1560,24,74
H,26.450000000000045,37.55000000000001,1672.0,27.5,54.0,No Failure,2022-01-12 18:08:00,No Failure,252,1558,22,72
L,26.350000000000023,37.05000000000001,1504.0,33.7,182.0,No Failure,2022-01-13 22:54:00,No Failure,250,1556,20,70
L,29.25,37.85000000000002,1776.0,25.6,30.0,No Failure,2022-01-06 23:40:00,No Failure,248,1554,18,68
L,32.05000000000001,41.25,1490.0,44.0,41.0,No Failure,2022-01-08 03:58:00,No Failure,246,1552,16,66
L,25.650000000000034,36.650000000000034,1621.0,36.1,68.0,No Failure,2022-01-13 18:48:00,No Failure,244,1550,14,64
M,26.150000000000034,35.55000000000001,1439.0,43.8,111.0,No Failure,2022-01-03 09:38:00,No Failure,242,1548,12,62
M,26.05000000000001,35.55000000000001,1608.0,33.8,106.0,No Failure,2022-01-03 14:38:00,No Failure,240,1546,10,60
M,25.25,36.55000000000001,1582.0,31.9,161.0,No Failure,2022-01-13 03:50:00,No Failure,238,1544,8,58
L,26.55000000000001,37.75,1593.0,42.5,146.0,No Failure,2022-01-02 19:26:00,No Failure,236,1542,6,56
M,30.75,40.05000000000001,1745.0,25.5,98.0,No Failure,2022-01-08 18:54:00,No Failure,234,1540,4,54
L,29.450000000000045,38.650000000000034,1564.0,34.1,150.0,No Failure,2022-01-05 15:14:00,No Failure,232,1538,2,52
L,24.75,35.650000000000034,1400.0,57.1,202.0,Overstrain Failure,2022-01-02 14:44:00,Overstrain Failure,230,1536,214,50
L,29.450000000000045,38.55000000000001,1494.0,39.5,24.0,No Failure,2022-01-10 03:58:00,No Failure,228,1534,212,48
M,24.950000000000045,36.35000000000002,1515.0,42.1,81.0,No Failure,2022-01-13 02:50:00,No Failure,226,1532,210,46
L,25.05000000000001,36.450000000000045,1924.0,22.1,163.0,No Failure,2022-01-02 00:24:00,No Failure,224,1530,208,44
L,26.05000000000001,36.25,1512.0,34.9,181.0,No Failure,2022-01-01 07:46:00,No Failure,222,1528,206,42
L,28.850000000000023,40.150000000000034,1424.0,43.5,136.0,No Failure,2022-01-12 02:28:00,No Failure,220,1526,204,40
M,25.55000000000001,37.55000000000001,1680.0,30.2,168.0,No Failure,2022-01-01 18:54:00,No Failure,218,1524,202,38
L,26.75,37.450000000000045,1583.0,39.8,202.0,No Failure,2022-01-14 04:14:00,No Failure,216,1522,200,36
M,25.850000000000023,37.05000000000001,1438.0,42.9,101.0,No Failure,2022-01-13 08:10:00,No Failure,214,1520,198,34
M,30.850000000000023,40.25,1526.0,36.1,142.0,No Failure,2022-01-08 14:00:00,No Failure,212,1518,196,32
L,26.150000000000034,36.85000000000002,1408.0,45.4,98.0,No Failure,2022-01-12 21:20:00,No Failure,210,1516,194,30
L,31.350000000000023,39.85000000000002,1761.0,25.8,105.0,No Failure,2022-01-07 15:10:00,No Failure,208,1514,192,28
H,29.25,37.75,1460.0,47.2,22.0,No Failure,2022-01-06 23:36:00,No Failure,206,1512,190,26
H,26.450000000000045,36.25,1407.0,50.5,164.0,No Failure,2022-01-01 04:46:00,No Failure,204,1510,188,24
L,30.25,39.950000000000045,1455.0,40.4,28.0,No Failure,2022-01-08 17:54:00,No Failure,202,1508,186,22
L,29.650000000000034,39.05000000000001,1840.0,26.6,202.0,No Failure,2022-01-10 09:12:00,No Failure,200,1506,184,20
M,26.950000000000045,36.35000000000002,1587.0,35.6,2.0,No Failure,2022-01-04 08:30:00,No Failure,198,1504,182,18
L,29.450000000000045,38.85000000000002,1485.0,40.1,142.0,No Failure,2022-01-10 08:30:00,No Failure,196,1502,180,16
H,30.150000000000034,38.650000000000034,1438.0,43.8,119.0,No Failure,2022-01-06 07:32:00,No Failure,194,1500,178,14
L,25.05000000000001,35.950000000000045,1474.0,44.3,152.0,No Failure,2022-01-13 14:32:00,No Failure,192,1498,176,12
M,26.150000000000034,37.950000000000045,1389.0,49.6,75.0,No Failure,2022-01-01 20:40:00,No Failure,190,1496,174,10
M,29.650000000000034,38.950000000000045,1395.0,44.6,171.0,No Failure,2022-01-10 08:50:00,No Failure,188,1494,172,8
L,23.450000000000045,33.950000000000045,1383.0,48.7,147.0,No Failure,2022-01-02 06:04:00,No Failure,186,1492,170,6
L,30.450000000000045,38.25,1514.0,42.7,75.0,No Failure,2022-01-07 03:10:00,No Failure,184,1490,168,4
L,26.75,36.35000000000002,1559.0,34.3,126.0,No Failure,2022-01-01 04:18:00,No Failure,182,1488,166,2
L,31.05000000000001,39.25,1324.0,54.2,228.0,Heat Dissipation Failure,2022-01-07 10:46:00,Heat Dissipation Failure,180,1486,164,126
L,29.650000000000034,38.75,1449.0,36.5,33.0,No Failure,2022-01-05 22:06:00,No Failure,178,1484,162,124
L,27.150000000000034,36.85000000000002,1473.0,46.3,146.0,No Failure,2022-01-03 23:08:00,No Failure,176,1482,160,122
M,25.850000000000023,35.950000000000045,1403.0,44.8,148.0,No Failure,2022-01-03 04:12:00,No Failure,174,1480,158,120
L,25.150000000000034,36.35000000000002,1503.0,43.3,90.0,No Failure,2022-01-13 05:38:00,No Failure,172,1478,156,118
L,27.75,37.05000000000001,1624.0,34.6,105.0,No Failure,2022-01-04 01:30:00,No Failure,170,1476,154,116
M,26.75,37.950000000000045,1549.0,40.2,65.0,No Failure,2022-01-14 08:06:00,No Failure,168,1474,152,114
M,29.75,38.450000000000045,1475.0,47.8,179.0,No Failure,2022-01-06 16:58:00,No Failure,166,1472,150,112
L,31.450000000000045,39.55000000000001,1491.0,39.8,92.0,No Failure,2022-01-07 12:00:00,No Failure,164,1470,148,110
L,29.25,38.55000000000001,1425.0,45.1,7.0,No Failure,2022-01-10 06:42:00,No Failure,162,1468,146,108
M,29.05000000000001,38.650000000000034,1734.0,31.3,64.0,No Failure,2022-01-09 17:28:00,No Failure,160,1466,144,106
L,27.55000000000001,37.150000000000034,1420.0,44.1,60.0,No Failure,2022-01-04 00:56:00,No Failure,158,1464,142,104
L,29.25,38.25,1301.0,51.2,112.0,No Failure,2022-01-10 05:04:00,No Failure,156,1462,140,102
L,31.650000000000034,40.450000000000045,1577.0,41.3,134.0,No Failure,2022-01-07 15:32:00,No Failure,154,1460,138,100
L,28.450000000000045,37.25,1369.0,51.6,71.0,No Failure,2022-01-05 02:54:00,No Failure,152,1458,136,98
M,28.850000000000023,38.55000000000001,1455.0,46.1,103.0,No Failure,2022-01-09 15:14:00,No Failure,150,1456,134,96
L,29.75,38.25,1884.0,23.4,163.0,No Failure,2022-01-06 16:42:00,No Failure,148,1454,132,94
L,29.850000000000023,37.650000000000034,1480.0,40.0,199.0,No Failure,2022-01-07 01:42:00,No Failure,146,1452,130,92
M,25.950000000000045,36.75,1335.0,50.4,110.0,No Failure,2022-01-13 21:58:00,No Failure,144,1450,128,90
H,30.450000000000045,38.85000000000002,1438.0,51.0,106.0,No Failure,2022-01-06 21:44:00,No Failure,142,1448,126,88
L,29.350000000000023,38.25,1425.0,54.4,7.0,No Failure,2022-01-05 19:06:00,No Failure,140,1446,124,86
L,27.950000000000045,39.25,1430.0,40.9,93.0,No Failure,2022-01-11 11:34:00,No Failure,138,1444,122,84
M,29.25,38.650000000000034,1782.0,26.5,6.0,No Failure,2022-01-10 09:26:00,No Failure,136,1442,120,82
L,25.850000000000023,36.55000000000001,1506.0,47.0,208.0,No Failure,2022-01-03 02:08:00,No Failure,134,1440,118,80
M,28.450000000000045,37.85000000000002,1478.0,36.3,95.0,No Failure,2022-01-05 08:48:00,No Failure,132,1438,116,78
L,27.05000000000001,36.75,1368.0,47.2,175.0,No Failure,2022-01-04 05:08:00,No Failure,130,1436,114,76
H,29.650000000000034,38.950000000000045,1543.0,36.4,120.0,No Failure,2022-01-09 00:46:00,No Failure,128,1434,112,74
L,26.350000000000023,37.35000000000002,1738.0,25.2,49.0,No Failure,2022-01-12 20:42:00,No Failure,126,1432,110,72
M,29.25,38.450000000000045,1630.0,30.3,2.0,No Failure,2022-01-05 16:10:00,No Failure,124,1430,108,70
M,25.350000000000023,37.25,1391.0,58.2,34.0,No Failure,2022-01-01 17:14:00,No Failure,122,1428,106,68
L,29.650000000000034,38.950000000000045,1495.0,36.9,197.0,No Failure,2022-01-10 09:08:00,No Failure,120,1426,104,66
L,25.850000000000023,36.25,1472.0,42.0,15.0,No Failure,2022-01-14 02:00:00,No Failure,118,1424,102,64
M,31.650000000000034,40.450000000000045,1768.0,23.9,149.0,No Failure,2022-01-07 21:14:00,No Failure,116,1422,100,62
M,24.950000000000045,35.75,1609.0,38.9,166.0,No Failure,2022-01-13 11:54:00,No Failure,114,1420,98,60
L,27.850000000000023,37.950000000000045,1465.0,40.9,60.0,No Failure,2022-01-11 02:38:00,No Failure,112,1418,96,58
M,25.350000000000023,36.450000000000045,1327.0,52.1,24.0,No Failure,2022-01-13 04:40:00,No Failure,110,1416,94,56
M,25.950000000000045,35.650000000000034,1608.0,32.6,57.0,No Failure,2022-01-03 08:50:00,No Failure,108,1414,92,54
L,25.25,36.55000000000001,1402.0,40.2,114.0,No Failure,2022-01-01 15:22:00,No Failure,106,1412,90,52
L,26.850000000000023,36.55000000000001,2250.0,16.6,208.0,No Failure,2022-01-04 14:18:00,No Failure,104,1410,88,50
L,26.25,37.450000000000045,1479.0,37.8,144.0,No Failure,2022-01-12 19:16:00,No Failure,102,1408,86,48
L,27.850000000000023,39.05000000000001,1629.0,31.7,62.0,No Failure,2022-01-11 11:10:00,No Failure,100,1406,84,46
L,27.450000000000045,38.55000000000001,1393.0,52.1,110.0,No Failure,2022-01-12 07:48:00,No Failure,98,1404,82,44
L,28.25,39.55000000000001,1460.0,39.6,162.0,No Failure,2022-01-11 18:10:00,No Failure,96,1402,80,42
L,28.950000000000045,38.950000000000045,1429.0,42.5,123.0,No Failure,2022-01-09 12:24:00,No Failure,94,1400,78,40
M,25.150000000000034,36.35000000000002,1520.0,42.4,171.0,No Failure,2022-01-13 01:12:00,No Failure,92,1398,76,38
L,29.150000000000034,38.950000000000045,1303.0,49.2,212.0,No Failure,2022-01-09 02:02:00,No Failure,90,1396,74,36
L,29.25,37.950000000000045,1937.0,21.8,205.0,No Failure,2022-01-05 13:00:00,No Failure,88,1394,72,34
L,31.350000000000023,39.450000000000045,1465.0,48.7,60.0,No Failure,2022-01-07 14:36:00,No Failure,86,1392,70,32
M,28.850000000000023,38.950000000000045,1420.0,47.4,167.0,No Failure,2022-01-09 12:58:00,No Failure,84,1390,68,30
L,29.150000000000034,38.150000000000034,1555.0,41.2,131.0,No Failure,2022-01-05 17:48:00,No Failure,82,1388,66,28
M,30.150000000000034,39.25,1479.0,45.6,59.0,No Failure,2022-01-06 12:14:00,No Failure,80,1386,64,26
L,23.450000000000045,34.150000000000034,1911.0,20.9,74.0,No Failure,2022-01-02 07:50:00,No Failure,78,1384,62,24
L,29.75,38.25,1889.0,21.5,92.0,No Failure,2022-01-06 18:36:00,No Failure,76,1382,60,22
H,26.25,36.05000000000001,1612.0,32.6,10.0,No Failure,2022-01-01 05:32:00,No Failure,74,1380,58,20
L,28.05000000000001,37.75,1566.0,36.4,170.0,No Failure,2022-01-10 22:24:00,No Failure,72,1378,56,18
L,26.150000000000034,35.55000000000001,1576.0,33.8,171.0,No Failure,2022-01-03 10:18:00,No Failure,70,1376,54,16
L,24.55000000000001,35.650000000000034,1382.0,47.5,37.0,No Failure,2022-01-02 01:54:00,No Failure,68,1374,52,14
M,25.75,37.650000000000034,1693.0,29.9,35.0,No Failure,2022-01-01 20:10:00,No Failure,66,1372,50,12
L,27.75,38.75,1292.0,51.1,173.0,No Failure,2022-01-11 06:56:00,No Failure,64,1370,48,10
M,31.350000000000023,40.85000000000002,1403.0,51.9,77.0,No Failure,2022-01-08 07:10:00,No Failure,62,1368,46,8
L,25.950000000000045,36.55000000000001,1568.0,32.9,10.0,No Failure,2022-01-03 02:26:00,No Failure,60,1366,44,6
L,25.950000000000045,36.75,1367.0,41.9,113.0,No Failure,2022-01-13 22:00:00,No Failure,58,1364,42,4
H,24.950000000000045,36.05000000000001,1527.0,42.2,199.0,No Failure,2022-01-13 09:28:00,No Failure,56,1362,40,2
L,30.05000000000001,38.650000000000034,1340.0,47.8,54.0,No Failure,2022-01-06 21:02:00,Heat Dissipation Failure,54,1360,38,102
L,31.55000000000001,40.55000000000001,1989.0,22.4,166.0,No Failure,2022-01-08 05:28:00,No Failure,52,1358,36,100
L,30.25,39.650000000000034,1648.0,30.0,122.0,No Failure,2022-01-08 16:34:00,No Failure,50,1356,34,98
L,30.350000000000023,38.75,1477.0,39.2,144.0,No Failure,2022-01-06 19:14:00,No Failure,48,1354,32,96
L,26.25,36.55000000000001,1386.0,44.9,135.0,No Failure,2022-01-01 07:06:00,No Failure,46,1352,30,94
L,29.150000000000034,38.35000000000002,1503.0,48.6,72.0,No Failure,2022-01-05 14:04:00,No Failure,44,1350,28,92
M,25.55000000000001,36.150000000000034,1547.0,36.8,74.0,No Failure,2022-01-14 00:18:00,No Failure,42,1348,26,90
L,28.850000000000023,38.85000000000002,1402.0,55.3,98.0,No Failure,2022-01-09 12:04:00,No Failure,40,1346,24,88
M,30.350000000000023,39.650000000000034,2023.0,19.1,74.0,No Failure,2022-01-08 15:56:00,No Failure,38,1344,22,86
L,30.450000000000045,38.25,1638.0,36.2,84.0,No Failure,2022-01-07 06:00:00,No Failure,36,1342,20,84
H,25.05000000000001,35.950000000000045,1770.0,27.2,140.0,No Failure,2022-01-13 14:24:00,No Failure,34,1340,18,82
M,30.05000000000001,39.55000000000001,1653.0,31.4,2.0,No Failure,2022-01-08 23:18:00,No Failure,32,1338,16,80
L,27.450000000000045,37.05000000000001,1572.0,33.4,20.0,No Failure,2022-01-04 00:28:00,No Failure,30,1336,14,78
L,28.650000000000034,39.75,1560.0,31.8,21.0,No Failure,2022-01-12 03:58:00,No Failure,28,1334,12,76
L,26.450000000000045,37.75,1556.0,38.6,36.0,No Failure,2022-01-12 17:52:00,No Failure,26,1332,10,74
H,26.55000000000001,36.35000000000002,1572.0,35.6,202.0,No Failure,2022-01-14 20:50:00,No Failure,24,1330,8,72
M,31.350000000000023,40.85000000000002,1492.0,46.1,89.0,No Failure,2022-01-08 07:20:00,No Failure,22,1328,6,70
L,28.650000000000034,40.450000000000045,1422.0,50.0,117.0,No Failure,2022-01-11 23:10:00,No Failure,20,1326,4,68
L,25.25,35.85000000000002,1423.0,38.0,154.0,No Failure,2022-01-12 22:06:00,No Failure,18,1324,2,66
L,28.350000000000023,39.650000000000034,1368.0,57.9,191.0,Overstrain Failure,2022-01-11 18:32:00,Overstrain Failure,16,1322,374,64
L,31.55000000000001,40.650000000000034,1832.0,23.6,35.0,No Failure,2022-01-07 22:40:00,No Failure,14,1320,372,62
L,28.350000000000023,38.450000000000045,1448.0,46.3,173.0,No Failure,2022-01-09 07:16:00,No Failure,12,1318,370,60
H,25.950000000000045,36.75,1388.0,53.5,83.0,No Failure,2022-01-14 02:52:00,No Failure,10,1316,368,58
L,28.450000000000045,38.25,1446.0,49.7,155.0,No Failure,2022-01-10 19:22:00,No Failure,8,1314,366,56
H,31.75,40.950000000000045,1790.0,26.7,17.0,No Failure,2022-01-08 06:18:00,No Failure,6,1312,364,54
L,27.75,37.35000000000002,1567.0,35.5,171.0,No Failure,2022-01-04 16:28:00,No Failure,4,1310,362,52
M,25.25,36.25,1564.0,35.0,105.0,No Failure,2022-01-13 00:22:00,No Failure,2,1308,360,50
L,25.25,36.55000000000001,2874.0,4.2,118.0,Power Failure,2022-01-01 15:26:00,Power Failure,70,1306,358,48
M,25.950000000000045,35.25,1363.0,60.1,187.0,No Failure,2022-01-03 10:32:00,No Failure,68,1304,356,46
M,25.75,35.450000000000045,1609.0,30.3,64.0,No Failure,2022-01-03 14:02:00,No Failure,66,1302,354,44
L,27.350000000000023,37.05000000000001,1816.0,23.0,15.0,No Failure,2022-01-04 00:24:00,No Failure,64,1300,352,42
M,30.75,40.25,1421.0,46.0,206.0,No Failure,2022-01-08 11:28:00,No Failure,62,1298,350,40
L,29.25,38.950000000000045,1462.0,37.1,41.0,No Failure,2022-01-09 02:48:00,No Failure,60,1296,348,38
M,28.150000000000034,37.35000000000002,1320.0,62.2,142.0,No Failure,2022-01-04 22:06:00,No Failure,58,1294,346,36
M,27.05000000000001,38.35000000000002,1548.0,33.5,35.0,No Failure,2022-01-12 09:46:00,No Failure,56,1292,344,34
M,26.950000000000045,37.950000000000045,1570.0,30.9,226.0,No Failure,2022-01-14 10:04:00,No Failure,54,1290,342,32
M,25.350000000000023,36.25,1369.0,54.8,145.0,No Failure,2022-01-13 17:12:00,No Failure,52,1288,340,30
L,30.350000000000023,39.35000000000002,1802.0,26.4,192.0,No Failure,2022-01-06 11:14:00,No Failure,50,1286,338,28
M,26.55000000000001,37.55000000000001,1629.0,27.9,136.0,No Failure,2022-01-14 12:10:00,No Failure,48,1284,336,26
L,30.25,38.85000000000002,1475.0,47.9,79.0,No Failure,2022-01-06 21:22:00,No Failure,46,1282,334,24
M,25.450000000000045,36.85000000000002,1815.0,25.3,66.0,No Failure,2022-01-01 23:12:00,No Failure,44,1280,332,22
M,30.950000000000045,40.25,1378.0,50.1,104.0,No Failure,2022-01-08 18:58:00,No Failure,42,1278,330,20
L,26.05000000000001,36.650000000000034,1302.0,60.4,34.0,No Failure,2022-01-13 21:00:00,No Failure,40,1276,328,18
L,25.450000000000045,36.25,1517.0,34.2,66.0,No Failure,2022-01-01 11:54:00,No Failure,38,1274,326,16
L,26.05000000000001,35.950000000000045,1618.0,34.7,39.0,No Failure,2022-01-01 05:52:00,No Failure,36,1272,324,14
L,25.450000000000045,36.55000000000001,1460.0,46.7,150.0,No Failure,2022-01-01 13:00:00,No Failure,34,1270,322,12
M,26.650000000000034,37.450000000000045,1575.0,34.4,149.0,No Failure,2022-01-14 17:36:00,No Failure,32,1268,320,10
L,28.55000000000001,38.950000000000045,2377.0,14.3,135.0,No Failure,2022-01-10 16:34:00,No Failure,30,1266,318,8
L,24.450000000000045,35.25,1504.0,45.8,58.0,No Failure,2022-01-02 12:56:00,No Failure,28,1264,316,6
M,25.950000000000045,35.85000000000002,1924.0,20.8,29.0,No Failure,2022-01-01 05:44:00,No Failure,26,1262,314,4
L,27.55000000000001,36.950000000000045,1473.0,39.4,125.0,No Failure,2022-01-04 01:46:00,No Failure,24,1260,312,2
L,31.25,39.75,1377.0,41.6,34.0,Heat Dissipation Failure,2022-01-07 17:06:00,Heat Dissipation Failure,22,1258,310,48
M,28.350000000000023,37.150000000000034,1881.0,25.5,98.0,No Failure,2022-01-05 03:12:00,No Failure,20,1256,308,46
H,26.75,36.55000000000001,1500.0,41.6,187.0,No Failure,2022-01-04 10:58:00,No Failure,18,1254,306,44
L,29.25,38.55000000000001,1989.0,21.8,19.0,No Failure,2022-01-05 16:22:00,No Failure,16,1252,304,42
M,30.150000000000034,39.55000000000001,1368.0,53.6,165.0,No Failure,2022-01-06 02:34:00,No Failure,14,1250,302,40
L,26.950000000000045,36.650000000000034,1413.0,42.1,86.0,No Failure,2022-01-04 12:38:00,No Failure,12,1248,300,38
H,26.150000000000034,36.450000000000045,1432.0,49.5,91.0,No Failure,2022-01-01 06:32:00,No Failure,10,1246,298,36
L,30.05000000000001,38.85000000000002,1832.0,23.2,70.0,No Failure,2022-01-06 21:14:00,No Failure,8,1244,296,34
L,26.950000000000045,38.25,1519.0,45.3,92.0,No Failure,2022-01-12 10:36:00,No Failure,6,1242,294,32
L,27.850000000000023,39.35000000000002,1666.0,32.0,128.0,No Failure,2022-01-11 20:24:00,No Failure,4,1240,292,30
L,25.950000000000045,35.55000000000001,1664.0,27.6,145.0,No Failure,2022-01-03 12:34:00,No Failure,2,1238,290,28
M,25.950000000000045,36.05000000000001,1420.0,63.9,19.0,Power Failure,2022-01-01 08:38:00,Power Failure,30,1236,288,26
H,26.05000000000001,36.25,1678.0,34.6,81.0,No Failure,2022-01-01 06:26:00,No Failure,28,1234,286,24
L,30.25,39.05000000000001,1466.0,43.9,152.0,No Failure,2022-01-06 07:52:00,No Failure,26,1232,284,22
L,30.25,39.650000000000034,1448.0,43.4,141.0,No Failure,2022-01-08 22:14:00,No Failure,24,1230,282,20
L,28.350000000000023,39.450000000000045,1575.0,32.5,168.0,No Failure,2022-01-11 15:22:00,No Failure,22,1228,280,18
L,31.650000000000034,40.55000000000001,1414.0,41.7,190.0,No Failure,2022-01-07 21:48:00,No Failure,20,1226,278,16
H,25.950000000000045,36.85000000000002,1438.0,41.4,60.0,No Failure,2022-01-03 03:02:00,No Failure,18,1224,276,14
L,30.25,39.25,1450.0,44.1,56.0,No Failure,2022-01-06 03:56:00,No Failure,16,1222,274,12
L,28.25,39.05000000000001,1351.0,62.0,18.0,No Failure,2022-01-11 13:22:00,No Failure,14,1220,272,10
L,27.650000000000034,38.950000000000045,1588.0,38.0,183.0,No Failure,2022-01-14 06:56:00,No Failure,12,1218,270,8
M,31.450000000000045,40.650000000000034,1400.0,43.2,23.0,No Failure,2022-01-07 22:32:00,No Failure,10,1216,268,6
L,25.650000000000034,35.650000000000034,1396.0,42.5,23.0,No Failure,2022-01-03 05:30:00,No Failure,8,1214,266,4
L,28.350000000000023,37.55000000000001,1580.0,42.8,196.0,No Failure,2022-01-05 04:28:00,No Failure,6,1212,264,2
L,30.650000000000034,38.75,1312.0,52.2,40.0,Heat Dissipation Failure,2022-01-07 08:20:00,Heat Dissipation Failure,4,1210,262,176
L,28.05000000000001,39.450000000000045,1671.0,28.8,149.0,No Failure,2022-01-11 09:26:00,No Failure,2,1208,260,174
L,25.05000000000001,35.75,1326.0,75.4,172.0,Power Failure,2022-01-13 14:48:00,Power Failure,512,1206,258,172
H,24.450000000000045,35.25,1406.0,41.5,189.0,No Failure,2022-01-02 03:56:00,No Failure,510,1204,256,170
L,25.350000000000023,36.450000000000045,1694.0,27.1,36.0,No Failure,2022-01-13 04:50:00,No Failure,508,1202,254,168
L,26.150000000000034,37.25,1356.0,45.4,96.0,No Failure,2022-01-02 18:46:00,No Failure,506,1200,252,166
L,27.05000000000001,38.150000000000034,1507.0,41.3,158.0,No Failure,2022-01-14 09:12:00,No Failure,504,1198,250,164
L,24.950000000000045,36.35000000000002,1425.0,40.0,35.0,No Failure,2022-01-13 02:08:00,No Failure,502,1196,248,162
L,31.25,40.650000000000034,1513.0,35.8,92.0,No Failure,2022-01-08 07:22:00,No Failure,500,1194,246,160
L,23.650000000000034,34.450000000000045,1644.0,35.2,115.0,No Failure,2022-01-02 08:24:00,No Failure,498,1192,244,158
M,25.05000000000001,35.85000000000002,1478.0,42.5,56.0,No Failure,2022-01-13 10:24:00,No Failure,496,1190,242,156
H,24.850000000000023,35.75,1448.0,45.6,172.0,No Failure,2022-01-02 14:26:00,No Failure,494,1188,240,154
L,27.450000000000045,38.450000000000045,1642.0,35.1,149.0,No Failure,2022-01-11 06:38:00,No Failure,492,1186,238,152
M,31.150000000000034,40.35000000000002,1674.0,32.7,76.0,No Failure,2022-01-08 09:56:00,No Failure,490,1184,236,150
M,25.950000000000045,35.85000000000002,1686.0,29.3,35.0,No Failure,2022-01-03 16:24:00,No Failure,488,1182,234,148
L,26.650000000000034,36.950000000000045,1393.0,52.6,167.0,No Failure,2022-01-01 02:00:00,No Failure,486,1180,232,146
L,25.650000000000034,35.150000000000034,1412.0,50.7,24.0,No Failure,2022-01-03 13:34:00,No Failure,484,1178,230,144
L,26.650000000000034,36.450000000000045,1431.0,45.7,97.0,No Failure,2022-01-01 03:50:00,No Failure,482,1176,228,142
M,25.350000000000023,36.450000000000045,1429.0,50.5,129.0,No Failure,2022-01-13 16:58:00,No Failure,480,1174,226,140
M,29.650000000000034,38.75,1881.0,20.9,23.0,No Failure,2022-01-06 14:50:00,No Failure,478,1172,224,138
M,30.05000000000001,39.35000000000002,1863.0,25.7,85.0,No Failure,2022-01-06 01:32:00,No Failure,476,1170,222,136
L,23.350000000000023,33.75,1542.0,36.2,12.0,No Failure,2022-01-02 07:02:00,No Failure,474,1168,220,134
L,27.05000000000001,38.25,1472.0,43.3,32.0,No Failure,2022-01-14 07:38:00,No Failure,472,1166,218,132
M,26.650000000000034,38.05000000000001,1581.0,37.5,75.0,No Failure,2022-01-02 21:34:00,No Failure,470,1164,216,130
L,25.25,36.150000000000034,1366.0,45.5,11.0,No Failure,2022-01-13 12:48:00,No Failure,468,1162,214,128
H,26.350000000000023,37.55000000000001,1561.0,35.3,208.0,No Failure,2022-01-14 13:10:00,No Failure,466,1160,212,126
